任务编号 任务描述 紧前任务 任务时间
1 获取支架 N/A 29
2 阅读框架规格 1 3
3 组装右侧框架 2 5
4 松开右侧框架组装 3 22
5 安装悬挂 1 6
6 阅读弹簧规格 5 14
7 放置弹簧绝缘子 1,6 2
8 组装左侧框架 6 5
9 松开左侧框架组装 8 22
10 松开右侧LCA组装 1 30
11 固定右侧框架安装 4 23
12 松开左侧LCA组装 1 30
13 固定左侧框架安装 9 23
14 放置右侧弹簧 7,10 2
15 准备右侧LCA安全固定 14 19
16 固定右侧LCA 15 29
17 获取保持器 N/A 2
18 放置左侧弹簧 7,12 2
19 准备左侧LCA安全固定 18 19
20 固定左侧LCA 17,19 29
21 反转横梁 16,20 6
22 放置前制动管道 21 10
23 松开前制动管道组装 22 16
24 固定前制动管道 23 23
25 松开右侧保险杠组装 21 5
26 固定右侧保险杠 25 5
27 准备配对 24,26 5
28 将横梁与发动机连接 11,13,27 40
29 拆卸右侧球节盖 28 2
30 将左侧横梁与发动机连接 21 5
31 固定左侧保险杠 30 5
32 安装热屏障 21,31 1
33 将横梁与发动机配对 11,13,27,32 40
34 移除清单 27 2
35 拆卸左侧球节盖 33 5
